ARKK
as of 02/02/2026

Ticker	Name	Weight	Shares	Market Value
TSLA	TESLA INC	10.88%	1,687,826	$726,457,188.66
CRSP	CRISPR THERAPEUTICS AG	5.48%	7,324,538	$365,933,918.48
ROKU	ROKU INC	5.00%	3,507,736	$333,936,467.20
TEM	TEMPUS AI INC	4.87%	5,437,877	$325,293,802.14
COIN	COINBASE GLOBAL INC -CLASS A	4.62%	1,584,993	$308,661,536.82
SHOP	SHOPIFY INC - CLASS A	4.24%	2,159,796	$283,430,029.08
HOOD	ROBINHOOD MARKETS INC - A	4.00%	2,683,450	$266,949,606.00
AMD	ADVANCED MICRO DEVICES	3.98%	1,121,209	$265,423,806.57
TER	TERADYNE INC	3.57%	989,013	$238,401,583.65
BEAM	BEAM THERAPEUTICS INC	3.53%	8,536,119	$235,767,606.78
PLTR	PALANTIR TECHNOLOGIES INC-A	3.23%	1,473,316	$215,973,392.44
RBLX	ROBLOX CORP -CLASS A	3.01%	3,051,253	$200,650,397.28
TWST	TWIST BIOSCIENCE CORP	2.58%	4,192,578	$172,189,178.46
CRCL	CIRCLE INTERNET GROUP INC	2.45%	2,562,726	$163,835,073.18
TXG	10X GENOMICS INC-CLASS A	2.19%	7,244,970	$146,348,394.00
BMNR	BITMINE IMMERSION TECHNOLOGI	2.19%	5,829,822	$146,328,532.20
ACHR	ARCHER AVIATION INC-A	2.07%	19,197,183	$138,027,745.77
AMZN	AMAZON.COM INC	1.86%	520,143	$124,470,219.90
NTLA	INTELLIA THERAPEUTICS INC	1.77%	8,979,868	$118,085,264.20
NVDA	NVIDIA CORP	1.63%	568,485	$108,654,538.05
CRWV	COREWEAVE INC-CL A	1.52%	1,088,324	$101,420,913.56
ILMN	ILLUMINA INC	1.51%	698,313	$101,122,705.53
TSM	TAIWAN SEMICONDUCTOR-SP ADR	1.51%	305,766	$101,074,008.96
BLSH	BULLISH	1.45%	3,204,510	$96,776,202.00
DE	DEERE & CO	1.45%	183,753	$97,021,584.00
XYZ	BLOCK INC	1.41%	1,559,174	$94,220,884.82
NTRA	NATERA INC	1.37%	397,068	$91,778,297.52
BIDU	BAIDU INC - SPON ADR	1.31%	570,847	$87,442,343.46
VCYT	VERACYTE INC	1.28%	2,237,777	$85,214,548.16
KTOS	KRATOS DEFENSE & SECURITY	1.27%	826,238	$85,110,776.38
RXRX	RECURSION PHARMACEUTICALS-A	1.27%	20,202,055	$84,646,610.45
BWXT	BWX TECHNOLOGIES INC	1.24%	402,351	$82,654,965.93
META	META PLATFORMS INC-CLASS A	1.19%	111,334	$79,770,811.00
ABNB	AIRBNB INC-CLASS A	1.06%	546,598	$70,713,383.26
DKNG UW	DRAFTKINGS INC-CL A	1.03%	2,508,558	$69,010,430.58
PD	PAGERDUTY INC	0.92%	5,796,136	$61,439,041.60
BABA	ALIBABA GROUP HOLDING-SP ADR	0.90%	353,591	$59,954,889.96
AVGO	BROADCOM INC	0.89%	179,209	$59,371,941.70
TTD	TRADE DESK INC/THE -CLASS A	0.89%	1,958,681	$59,406,794.73
WGS	GENEDX HOLDINGS CORP	0.79%	549,633	$52,907,672.58
SOFI	SOFI TECHNOLOGIES INC	0.77%	2,267,989	$51,732,829.09
PACB	PACIFIC BIOSCIENCES OF CALIF	0.71%	21,023,236	$47,512,513.36
GOOG	ALPHABET INC-CL C	0.53%	103,648	$35,087,957.44
CERS	CERUS CORP	0.33%	9,536,274	$22,219,518.42
SLMT	BRERA HOLDINGS PLC-CL B	0.13%	6,222,479	$8,587,021.02

--------------------------

ARKQ
as of 02/02/2026

Ticker	Name	Weight	Shares	Market Value
TSLA	TESLA INC	10.58%	505,657	$217,639,829.37
TER	TERADYNE INC	10.38%	885,891	$213,544,025.55
KTOS	KRATOS DEFENSE & SECURITY	8.16%	1,630,491	$167,956,877.91
RKLB UQ	ROCKET LAB	5.85%	1,503,828	$120,411,507.96
AMD	ADVANCED MICRO DEVICES	4.37%	379,442	$89,825,304.66
PLTR	PALANTIR TECHNOLOGIES INC-A	4.05%	568,947	$83,401,940.73
AVAV	AEROVIRONMENT INC	3.86%	285,099	$79,368,710.61
DE	DEERE & CO	3.85%	149,897	$79,145,616.00
ACHR	ARCHER AVIATION INC-A	3.33%	9,536,442	$68,567,017.98
LHX	L3HARRIS TECHNOLOGIES INC	2.87%	172,223	$59,046,655.55
TSM	TAIWAN SEMICONDUCTOR-SP ADR	2.62%	162,870	$53,838,307.20
AMZN	AMAZON.COM INC	2.56%	219,963	$52,637,145.90
GOOG	ALPHABET INC-CL C	2.49%	151,303	$51,220,604.59
TRMB	TRIMBLE INC	2.48%	755,200	$51,051,520.00
NVDA	NVIDIA CORP	2.25%	242,413	$46,332,396.69
BIDU	BAIDU INC - SPON ADR	2.10%	282,675	$43,300,156.50
